reference_event,year,real_world_category,motif_type,game_event_type,terrain,weather_or_condition,key_stats,mental_axis,gameplay_conversion,fictional_event_name,status
World TT specialist day,annual,Championship,pure_tt,world_time_trial,itt,dry,"technique/stamina/ego","集中/冷静さ","機材とフォームと精神安定で勝負する個人TT","虹時計の独走",seed
Team time trial collapse,modern,Stage Race,ttt_line_break,team_time_trial,ttt,wind,"teamwork/technique/stamina","連携/焦り","隊列崩壊、人数不足、エース保護を処理するTTT","八人隊列の亀裂",seed
Leadout train perfection,modern,Sprint,leadout_masterclass,flat_stage,flat,fast_finish,"sprint/teamwork/technique","信頼/自己犠牲","リードアウト成功でスプリンターの勝率が跳ねる","黄金発射台の最終直線",seed
Chaotic bunch sprint crash risk,modern,Sprint,chaotic_sprint,flat_stage,flat,crash_risk,"sprint/technique/fighting","恐怖耐性/エゴ","位置取り失敗で落車リスク、成功で大量ポイント","混戦ゴールの針穴",seed
Breakaway allowed transition day,modern,Stage Race,breakaway_day,stage_hunter,hill,hot,"stamina/ego/fighting","孤独/負けん気","総合勢が休む日に逃げ屋が勝負する","逃げ容認の移動日",seed
Mountain domestique sacrifice,modern,Team Tactics,domestique_sacrifice,team_event,mountain,high_pace,"teamwork/stamina/climb","献身/信頼","アシストが脚を使い切ってエースを守る","山岳番兵の使い切り",seed
Multiple ace conflict,modern,Team Tactics,dual_leader_conflict,team_event,all,pressure,"ego/teamwork/fighting","エゴ/チームワーク","チーム内エース変更や内紛をメンタルイベント化","二枚看板の亀裂",seed
Neutralized dangerous descent,modern,Race Incident,danger_management,race_director_event,mountain_descent,danger,"technique/fighting/teamwork","冷静さ/安全判断","危険下りで攻めるか守るか、主催者判断も入る","霧の下り中断判断",seed
Mechanical on cobbles,classic,Race Incident,mechanical_cobble,one_day_monument,cobble,puncture,"technique/fighting/teamwork","焦り/負けん気","パンク・チェーン落ちから復帰するイベント","石畳のメカトラ復帰",seed
Feed zone miss,classic,Race Incident,feed_miss,stage_event,all,heat,"stamina/teamwork/fighting","焦り/我慢","補給失敗で終盤能力が落ちる。アシストで回復可能","失われた補給袋",seed
Rain jacket chase,modern,Race Incident,clothing_delay,stage_event,mountain,rain,"teamwork/technique/stamina","焦り/冷静さ","雨具受け渡しや車列位置が展開に影響","雨具車列の遅れ",seed
Gravel sector ambush,modern,One Day,gravel_ambush,one_day_classic,gravel,dust,"technique/stamina/fighting","負けん気/判断","グラベル入口前の位置取りとパンク耐性を処理","白い道の奇襲",seed
Strade style piazza finish,modern,One Day,steep_city_finish,one_day_classic,gravel_hill,dust,"climb/technique/ego","勝負勘/エゴ","未舗装路後の急坂市街地ゴール","白壁広場の最終坂",seed
Spring classic bad luck chain,classic,One Day,bad_luck_chain,one_day_classic,cobble,wind_rain,"technique/fighting/teamwork","負けん気/忍耐","落車、パンク、横風が連鎖するクラシック運イベント","春嵐の連鎖トラブル",seed
Grand tour rest day sickness,modern,Grand Tour,rest_day_slump,season_event,all,recovery,"stamina/fighting/teamwork","不安/回復力","休養日明けに調子を崩すリスクを処理","休養日明けの重い脚",seed
Youth breakthrough stage,modern,Career Event,youth_breakthrough,career_event,hill,opportunity,"ego/fighting/technique","自信/緊張","若手カードが一気に名を上げるキャリアイベント","若手覚醒の丘陵日",seed
Veteran last win,classic,Career Event,veteran_last_win,career_event,all,final_season,"technique/fighting/stamina","執念/経験","能力低下を経験と勝負勘で補う最終勝利","老将最後の一撃",seed
Home race pressure,modern,Career Event,home_pressure,career_event,all,crowd,"ego/fighting/teamwork","期待/焦り","地元レースで人気とプレッシャーが増える","故郷の旗の下で",seed
National champion jersey curse,modern,Career Event,jersey_pressure,season_event,all,attention,"ego/fighting/technique","重圧/誇り","チャンピオンジャージで勝てない時期をイベント化","王者ジャージの重み",seed
Underdog wild card team,modern,Team Event,wildcard_attack,stage_hunter,hill,media,"teamwork/fighting/ego","反骨/団結","小規模チームが逃げで大会を盛り上げる","招待チームの反骨逃げ",seed
