reference_name,source_count,source_labels,credit_salary,primary_archetype,secondary_archetype,motif_reason,sprint,climb,stamina,technique,teamwork,ego,fighting,race_fit,game_conversion_note
Gianni Motta,6,Grand Tour GC / Grand Tour points / Grand Tour stage wins / Giro d'Italia GC / Giro di Lombardia / Tour de Suisse,9200,gc,sprint,Referenced from 6 major race/classification source(s),70,93,99,93,82,89,98,mountain/itt,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Hugo Koblet,6,Grand Tour GC / Grand Tour mountains / Grand Tour stage wins / Tour de France GC / Giro d'Italia GC / Tour de Suisse,10800,legend_allround,gc,Referenced from 6 major race/classification source(s),95,95,99,99,80,99,99,hill/breakaway,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Jan Ullrich,6,Grand Tour GC / Grand Tour stage wins / Tour de France GC / Vuelta a Espana GC / World time trial / Tour de Suisse,10800,legend_allround,gc,Referenced from 6 major race/classification source(s),95,95,99,99,80,99,99,hill/breakaway,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Laurent Fignon,6,Grand Tour GC / Grand Tour mountains / Grand Tour stage wins / Tour de France GC / Giro d'Italia GC / Milan-San Remo,10800,legend_allround,gc,Referenced from 6 major race/classification source(s),95,95,99,99,80,99,99,hill/breakaway,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Learco Guerra,6,Grand Tour GC / Grand Tour stage wins / Giro d'Italia GC / World road race / Milan-San Remo / Giro di Lombardia,10800,legend_allround,gc,Referenced from 6 major race/classification source(s),95,95,99,99,80,99,99,hill/breakaway,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Miguel Induráin,6,Grand Tour GC / Grand Tour stage wins / Tour de France GC / World time trial / Paris-Nice / Criterium du Dauphine,10800,legend_allround,gc,Referenced from 6 major race/classification source(s),95,95,99,99,80,99,99,hill/breakaway,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Nairo Quintana,6,Grand Tour GC / Grand Tour mountains / Grand Tour stage wins / Giro d'Italia GC / Vuelta a Espana GC / Tirreno-Adriatico,10800,legend_allround,gc,Referenced from 6 major race/classification source(s),95,95,99,99,80,99,99,hill/breakaway,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Paolo Bettini,6,Grand Tour points / World road race / Milan-San Remo / Liege-Bastogne-Liege / Giro di Lombardia / Tirreno-Adriatico,10800,legend_allround,sprint,Referenced from 6 major race/classification source(s),95,95,99,99,80,99,99,hill/breakaway,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Remco Evenepoel,6,Grand Tour GC / Grand Tour mountains / Vuelta a Espana GC / World road race / World time trial / Liege-Bastogne-Liege,10800,legend_allround,gc,Referenced from 6 major race/classification source(s),95,95,99,99,80,99,99,hill/breakaway,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Rudi Altig,6,Grand Tour GC / Grand Tour points / Grand Tour stage wins / Vuelta a Espana GC / World road race / Milan-San Remo,9200,gc,sprint,Referenced from 6 major race/classification source(s),70,93,99,93,82,89,98,mountain/itt,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Stefano Garzelli,6,Grand Tour GC / Grand Tour mountains / Grand Tour stage wins / Giro d'Italia GC / Tirreno-Adriatico / Tour de Suisse,9200,gc,climber,Referenced from 6 major race/classification source(s),70,93,99,93,82,89,98,mountain/itt,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Stephen Roche,6,Grand Tour GC / Grand Tour stage wins / Tour de France GC / Giro d'Italia GC / World road race / Paris-Nice,9200,gc,stage_hunter,Referenced from 6 major race/classification source(s),70,93,99,93,82,89,98,mountain/itt,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Abraham Olano,5,Grand Tour GC / Vuelta a Espana GC / World road race / World time trial / Tirreno-Adriatico,8900,gc,classic,Referenced from 5 major race/classification source(s),70,93,99,93,82,89,98,mountain/itt,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Andrew Hampsten,5,Grand Tour GC / Grand Tour mountains / Grand Tour stage wins / Giro d'Italia GC / Tour de Suisse,8900,gc,climber,Referenced from 5 major race/classification source(s),70,93,99,93,82,89,98,mountain/itt,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Bradley Wiggins,5,Grand Tour GC / Tour de France GC / World time trial / Paris-Nice / Criterium du Dauphine,10500,legend_allround,gc,Referenced from 5 major race/classification source(s),95,95,99,99,80,99,99,hill/breakaway,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Cadel Evans,5,Grand Tour GC / Grand Tour points / Tour de France GC / World road race / Tirreno-Adriatico,8900,gc,sprint,Referenced from 5 major race/classification source(s),70,93,99,93,82,89,98,mountain/itt,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Charly Gaul,5,Grand Tour GC / Grand Tour mountains / Grand Tour stage wins / Tour de France GC / Giro d'Italia GC,10500,legend_allround,gc,Referenced from 5 major race/classification source(s),95,95,99,99,80,99,99,hill/breakaway,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Costante Girardengo,5,Grand Tour GC / Grand Tour stage wins / Giro d'Italia GC / Milan-San Remo / Giro di Lombardia,10500,legend_allround,gc,Referenced from 5 major race/classification source(s),95,95,99,99,80,99,99,hill/breakaway,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Danilo Di Luca,5,Grand Tour GC / Grand Tour stage wins / Giro d'Italia GC / Liege-Bastogne-Liege / Giro di Lombardia,8900,gc,stage_hunter,Referenced from 5 major race/classification source(s),70,93,99,93,82,89,98,mountain/itt,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Fabian Cancellara,5,World time trial / Paris-Roubaix / Milan-San Remo / Tirreno-Adriatico / Tour de Suisse,10500,legend_allround,itt,Referenced from 5 major race/classification source(s),95,95,99,99,80,99,99,hill/breakaway,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
François Faber,5,Grand Tour GC / Grand Tour stage wins / Tour de France GC / Paris-Roubaix / Giro di Lombardia,8900,gc,stage_hunter,Referenced from 5 major race/classification source(s),70,93,99,93,82,89,98,mountain/itt,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Gaetano Belloni,5,Grand Tour GC / Grand Tour stage wins / Giro d'Italia GC / Milan-San Remo / Giro di Lombardia,10500,legend_allround,gc,Referenced from 5 major race/classification source(s),95,95,99,99,80,99,99,hill/breakaway,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Gastone Nencini,5,Grand Tour GC / Grand Tour mountains / Grand Tour stage wins / Tour de France GC / Giro d'Italia GC,10500,legend_allround,gc,Referenced from 5 major race/classification source(s),95,95,99,99,80,99,99,hill/breakaway,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Geraint Thomas,5,Grand Tour GC / Tour de France GC / Paris-Nice / Criterium du Dauphine / Tour de Suisse,8900,gc,stage_hunter,Referenced from 5 major race/classification source(s),70,93,99,93,82,89,98,mountain/itt,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Gilberto Simoni,5,Grand Tour GC / Grand Tour points / Grand Tour stage wins / Giro d'Italia GC / Tour de Suisse,10500,legend_allround,gc,Referenced from 5 major race/classification source(s),95,95,99,99,80,99,99,hill/breakaway,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Giovanni Brunero,5,Grand Tour GC / Grand Tour stage wins / Giro d'Italia GC / Milan-San Remo / Giro di Lombardia,10500,legend_allround,gc,Referenced from 5 major race/classification source(s),95,95,99,99,80,99,99,hill/breakaway,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Giovanni Valetti,5,Grand Tour GC / Grand Tour mountains / Grand Tour stage wins / Giro d'Italia GC / Tour de Suisse,10500,legend_allround,gc,Referenced from 5 major race/classification source(s),95,95,99,99,80,99,99,hill/breakaway,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Greg LeMond,5,Grand Tour GC / Grand Tour stage wins / Tour de France GC / World road race / Criterium du Dauphine,10500,legend_allround,gc,Referenced from 5 major race/classification source(s),95,95,99,99,80,99,99,hill/breakaway,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Hennie Kuiper,5,World road race / Paris-Roubaix / Milan-San Remo / Giro di Lombardia / Tour de Suisse,7500,climber,classic,Referenced from 5 major race/classification source(s),55,99,96,83,74,87,99,mountain,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
José Manuel Fuente,5,Grand Tour GC / Grand Tour mountains / Grand Tour stage wins / Vuelta a Espana GC / Tour de Suisse,8900,gc,climber,Referenced from 5 major race/classification source(s),70,93,99,93,82,89,98,mountain/itt,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Luis Ocaña,5,Grand Tour GC / Grand Tour mountains / Tour de France GC / Vuelta a Espana GC / Criterium du Dauphine,8900,gc,climber,Referenced from 5 major race/classification source(s),70,93,99,93,82,89,98,mountain/itt,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Marco Pantani,5,Grand Tour GC / Grand Tour mountains / Grand Tour stage wins / Tour de France GC / Giro d'Italia GC,8900,gc,climber,Referenced from 5 major race/classification source(s),70,93,99,93,82,89,98,mountain/itt,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Michel Pollentier,5,Grand Tour GC / Grand Tour stage wins / Giro d'Italia GC / Criterium du Dauphine / Tour de Suisse,8900,gc,stage_hunter,Referenced from 5 major race/classification source(s),70,93,99,93,82,89,98,mountain/itt,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Michele Scarponi,5,Grand Tour GC / Grand Tour points / Grand Tour stage wins / Giro d'Italia GC / Tirreno-Adriatico,8900,gc,sprint,Referenced from 5 major race/classification source(s),70,93,99,93,82,89,98,mountain/itt,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Richard Carapaz,5,Grand Tour GC / Grand Tour mountains / Grand Tour stage wins / Giro d'Italia GC / Tour de Suisse,8900,gc,climber,Referenced from 5 major race/classification source(s),70,93,99,93,82,89,98,mountain/itt,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Rik Van Steenbergen,5,Grand Tour points / Grand Tour stage wins / World road race / Paris-Roubaix / Milan-San Remo,10500,legend_allround,sprint,Referenced from 5 major race/classification source(s),95,95,99,99,80,99,99,hill/breakaway,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Simon Yates,5,Grand Tour GC / Grand Tour stage wins / Giro d'Italia GC / Vuelta a Espana GC / Tirreno-Adriatico,8900,gc,stage_hunter,Referenced from 5 major race/classification source(s),70,93,99,93,82,89,98,mountain/itt,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Vittorio Adorni,5,Grand Tour GC / Grand Tour stage wins / Giro d'Italia GC / World road race / Tour de Suisse,8900,gc,stage_hunter,Referenced from 5 major race/classification source(s),70,93,99,93,82,89,98,mountain/itt,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Amaury Sport Organisation,4,Paris-Roubaix / Liege-Bastogne-Liege / Paris-Nice / Criterium du Dauphine,8600,gc,classic_cobble,Referenced from 4 major race/classification source(s),68,91,99,91,80,87,96,mountain/itt,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
André Darrigade,4,Grand Tour points / Grand Tour stage wins / World road race / Giro di Lombardia,7100,classic,sprint,Referenced from 4 major race/classification source(s),81,75,99,97,76,87,99,hill/breakaway,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
André Leducq,4,Grand Tour GC / Grand Tour stage wins / Tour de France GC / Paris-Roubaix,8600,gc,stage_hunter,Referenced from 4 major race/classification source(s),68,91,99,91,80,87,96,mountain/itt,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Andy Schleck,4,Grand Tour GC / Grand Tour stage wins / Tour de France GC / Liege-Bastogne-Liege,8600,gc,stage_hunter,Referenced from 4 major race/classification source(s),68,91,99,91,80,87,96,mountain/itt,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Antonin Magne,4,Grand Tour GC / Grand Tour stage wins / Tour de France GC / World road race,8600,gc,stage_hunter,Referenced from 4 major race/classification source(s),68,91,99,91,80,87,96,mountain/itt,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Antonio Suárez,4,Grand Tour GC / Grand Tour points / Grand Tour mountains / Vuelta a Espana GC,8600,gc,sprint,Referenced from 4 major race/classification source(s),68,91,99,91,80,87,96,mountain/itt,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Bernardo Ruiz,4,Grand Tour GC / Grand Tour mountains / Grand Tour stage wins / Vuelta a Espana GC,8600,gc,climber,Referenced from 4 major race/classification source(s),68,91,99,91,80,87,96,mountain/itt,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Carlo Oriani,4,Grand Tour GC / Grand Tour stage wins / Giro d'Italia GC / Giro di Lombardia,8600,gc,stage_hunter,Referenced from 4 major race/classification source(s),68,91,99,91,80,87,96,mountain/itt,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Carlos Sastre,4,Grand Tour GC / Grand Tour mountains / Grand Tour stage wins / Tour de France GC,8600,gc,climber,Referenced from 4 major race/classification source(s),68,91,99,91,80,87,96,mountain/itt,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Damiano Cunego,4,Grand Tour GC / Grand Tour stage wins / Giro d'Italia GC / Giro di Lombardia,7200,climber,gc,Referenced from 4 major race/classification source(s),53,99,94,81,72,85,99,mountain,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Delio Rodríguez,4,Grand Tour GC / Grand Tour points / Grand Tour stage wins / Vuelta a Espana GC,8600,gc,sprint,Referenced from 4 major race/classification source(s),68,91,99,91,80,87,96,mountain/itt,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Ercole Baldini,4,Grand Tour GC / Grand Tour stage wins / Giro d'Italia GC / World road race,8600,gc,stage_hunter,Referenced from 4 major race/classification source(s),68,91,99,91,80,87,96,mountain/itt,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Federazione Ciclistica Italiana,4,Grand Tour GC / Grand Tour points / Grand Tour mountains / Vuelta a Espana GC,10200,legend_allround,gc,Referenced from 4 major race/classification source(s),93,93,99,99,78,97,99,hill/breakaway,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Federico Bahamontes,4,Grand Tour GC / Grand Tour mountains / Grand Tour stage wins / Tour de France GC,8600,gc,climber,Referenced from 4 major race/classification source(s),68,91,99,91,80,87,96,mountain/itt,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Fiorenzo Magni,4,Grand Tour GC / Grand Tour points / Grand Tour stage wins / Giro d'Italia GC,10200,legend_allround,gc,Referenced from 4 major race/classification source(s),93,93,99,99,78,97,99,hill/breakaway,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Fred De Bruyne,4,Paris-Roubaix / Milan-San Remo / Liege-Bastogne-Liege / Paris-Nice,10200,legend_allround,classic_cobble,Referenced from 4 major race/classification source(s),93,93,99,99,78,97,99,hill/breakaway,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Giovanni Battaglin,4,Grand Tour GC / Grand Tour mountains / Grand Tour stage wins / Giro d'Italia GC,8600,gc,climber,Referenced from 4 major race/classification source(s),68,91,99,91,80,87,96,mountain/itt,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Grand Prix de Fourmies,4,Paris-Roubaix / Milan-San Remo / Liege-Bastogne-Liege / Giro di Lombardia,7200,climber,classic_cobble,Referenced from 4 major race/classification source(s),53,99,94,81,72,85,99,mountain,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
